episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
14300,0.9698132222222222,34250,32505.0,11459.33693359375,82664,0.0,12,41230.0,12,408,31,22,21,17,23,18,35
14400,0.9696021111111112,-47000,28597.5,11736.713286132812,83242,0.0,16,38570.0,9,419,16,26,24,18,25,26,24
14500,0.969391,35750,39067.5,11466.56140625,83835,0.0,8,45070.0,8,423,27,21,20,28,24,25,25
14600,0.9691798888888888,59000,27940.0,11347.954965820312,84409,0.0,17,38360.0,14,407,18,19,20,26,26,22,36
14700,0.9689687777777778,60000,31982.5,11525.92908203125,84985,0.0,14,40670.0,11,406,23,20,31,20,22,30,24
14800,0.9687576666666666,94000,27010.0,11540.115546875,85569,0.0,16,36950.0,2,427,18,21,20,32,14,28,24
14900,0.9685465555555556,-45000,30295.0,11323.121416015625,86141,0.0,16,40050.0,9,402,26,30,26,22,13,23,30
15000,0.9683354444444444,61500,35837.5,11612.77853515625,86718,0.0,14,45110.0,10,408,25,23,23,23,19,19,37
15100,0.9681243333333334,118000,35447.5,11665.368486328125,87303,0.0,10,42530.0,9,414,26,21,22,26,27,22,27
15200,0.9679132222222222,13250,37795.0,11798.593486328125,87892,0.0,13,46250.0,8,421,25,23,22,23,26,20,29
15300,0.9677021111111112,106500,35710.0,11354.405581054687,88483,0.0,14,44130.0,8,429,28,17,24,23,20,24,26
15400,0.967491,21000,37742.5,11451.53751953125,89060,0.0,11,45210.0,8,407,26,19,22,20,22,27,34
15500,0.9672798888888889,26000,30207.5,11311.736279296874,89633,0.0,16,40460.0,5,415,23,27,15,19,21,25,28
15600,0.9670687777777778,-72000,24927.5,11447.10833984375,90205,0.0,18,36350.0,9,418,16,18,26,22,23,18,31
15700,0.9668576666666666,23500,37362.5,11460.075439453125,90792,0.0,8,43280.0,8,417,29,22,15,25,26,21,32
15800,0.9666465555555556,-65000,20317.5,11605.454272460938,91359,0.0,18,31790.0,5,409,19,22,23,31,19,22,22
15900,0.9664354444444444,15250,32665.0,11430.329252929687,91937,0.0,14,41790.0,10,418,22,27,18,17,17,29,30
16000,0.9662243333333334,-67000,31240.0,11455.17615234375,92519,0.0,13,39530.0,8,415,27,21,25,24,23,22,25
16100,0.9660132222222222,50500,33220.0,11700.42693359375,93109,0.0,11,40460.0,12,419,27,29,21,18,23,32,21
16200,0.9658021111111111,-4250,28965.0,11452.315791015624,93688,0.0,12,37420.0,10,413,29,27,24,20,25,20,21
16300,0.965591,7000,35757.5,11457.14064453125,94279,0.0,13,43730.0,5,422,23,20,20,22,31,23,30
